Hash64	MaskedHash	Namespace	Candidate	MatchKind	Confidence	Ambiguous	Contexts	Occurrences	Files	Provenance
0000b9802b8bd8f2	0000b9802b8bd8f2	typed_lua	greentea	exact64	generated_exact	false	table_key	3	global/sha1_3cca2d4b8e4f2c77.lua;global/sha1_462428b4f135e8df.lua	composition:token_pair
70017df10717e68e	0017df10717e68e	iw_resource	ui.generated.widgets.activearmorytag	masked60	resource60	false	require_arg0	1	global/sha1_6c64dad7a70abffa.lua	literal:external_1_Sourcecode
0006c70b5f1bf36d	0006c70b5f1bf36d	typed_lua	mainplayergamertag	exact64	generated_exact	false	table_key	1	global/sha1_3cca2d4b8e4f2c77.lua	token:external_1_Sourcecode
400cbde653f6c805	00cbde653f6c805	iw_resource	onboarding/cdl_rules	masked60	resource60	false	table_value	1	global/sha1_5170bf2570400ded.lua	literal:external_1_Sourcecode
00110ba852286c51	00110ba852286c51	typed_lua	merlotred	exact64	generated_exact	false	table_key	4	global/sha1_3cca2d4b8e4f2c77.lua	token:external_1_Sourcecode
00125d9250be8b4c	00125d9250be8b4c	typed_lua	orders	exact64	generated_exact	false	table_key	1	global/sha1_3cca2d4b8e4f2c77.lua	token:external_1_ff_dumps
3013b05cf8866505	013b05cf8866505	iw_resource	ui.generated.widgets.frontend.globalplayerprogression	masked60	resource60	false	require_arg0	1	global/sha1_89158c9ee8fa9278.lua	literal:external_1_Sourcecode
0017a4405e6bdf48	0017a4405e6bdf48	typed_lua	circleg2	exact64	generated_exact	false	table_key;unknown_numeric	3	global/Luafile_3813dd86da06134.lua	literal:external_1_Sourcecode
702047f2760e5826	02047f2760e5826	iw_resource	ui.generated.widgets.frontend.headerbackarrowlarge	masked60	resource60	false	require_arg0	1	global/sha1_6c64dad7a70abffa.lua	literal:external_1_Sourcecode
30253eeafefa5bd7	0253eeafefa5bd7	iw_resource	lua_menu/default_loadout	masked60	resource60	false	function_argument	1	global/sha1_15d75a4300422730.lua	literal:external_1_iw8-rawfiles
502e58790ab053fb	02e58790ab053fb	iw_resource	onboarding/trial_event	masked60	resource60	false	table_value	1	global/sha1_5170bf2570400ded.lua	literal:external_1_Sourcecode
0031e41913329f7c	0031e41913329f7c	typed_lua	bg2	exact64	generated_exact	false	table_key;unknown_numeric	10	global/sha1_36fab4be6e49ac0d.lua	token:external_1_ff_dumps
00373075c039b71c	00373075c039b71c	typed_lua	square2	exact64	generated_exact	false	table_key;unknown_numeric	2	global/Luafile_27cf99ae567175e.lua	literal:external_1_Sourcecode
00373375c039bc35	00373375c039bc35	typed_lua	square1	exact64	generated_exact	false	table_key;unknown_numeric	2	global/Luafile_27cf99ae567175e.lua	literal:external_1_Sourcecode
003b47f7b402e868	003b47f7b402e868	typed_lua	operators_solo	exact64	generated_exact	false	table_key;table_value	212	global/sha1_0db0e3fab48d003b.lua;global/sha1_10877888f86391e9.lua;global/sha1_2f1d678f280597a0.lua;global/sha1_a2fd2b403a2ddd38.lua;global/sha1_a848f16a8570e127.lua;global/sha1_c90682e4a7a2831c.lua;global/sha1_ec0c2c197287e47c.lua	composition:token_pair
003f4006de769b90	003f4006de769b90	typed_lua	isbotsetupenabled	exact64	generated_exact	false	table_key	1	global/sha1_411410c112c44078.lua	token:external_1_Sourcecode
1040b1a2ce0c72d7	040b1a2ce0c72d7	iw_resource	ui.generated.widgets.mousecursorcontextualmenu	masked60	resource60	false	require_arg0	1	global/sha1_6c64dad7a70abffa.lua	literal:external_1_Sourcecode
00411635c24101a7	00411635c24101a7	typed_lua	pcachievementsmenu	exact64	generated_exact	false	function_argument;require_arg1;table_value	5	global/sha1_069bb365edc17e0f.lua	literal:external_1_Sourcecode
0043475031b253f8	0043475031b253f8	typed_lua	super_using_remote_control_sequence	exact64	generated_exact	false	table_key;table_value	2	global/sha1_297af6fea35c0f8c.lua	literal:lua
0044d3dd7a1a39fc	0044d3dd7a1a39fc	typed_lua	ret_sat_loot_s35bloodflow	exact64	generated_exact	false	function_argument;member_id	2	global/sha1_168bdbd8958a612a.lua	target_local:global/sha1_168bdbd8958a612a.lua
2047592b9079304b	047592b9079304b	iw_resource	store/bundle_items_included_reticle	masked60	resource60	false	table_value	1	global/sha1_15d75a4300422730.lua	literal:external_1_Sourcecode
004a1b1913478ed2	004a1b1913478ed2	typed_lua	blm	exact64	generated_exact	false	table_key	1	global/sha1_3cca2d4b8e4f2c77.lua	token:external_1_blackops6data
004e5ea5d86a1594	004e5ea5d86a1594	typed_lua	extrashortdropdown	exact64	generated_exact	false	table_value	1	global/sha1_82af3a712eab739f.lua	literal:external_1_Sourcecode
004eb508df86206a	004eb508df86206a	typed_lua	objectivebackgroundmission	exact64	generated_exact	false	table_key	1	global/sha1_3cca2d4b8e4f2c77.lua	token:external_1_Sourcecode
005292dc3d16f25b	005292dc3d16f25b	typed_lua	rightprompt	exact64	generated_exact	false	table_key	12	global/sha1_6da0034476077aec.lua	key:learned_suffix
00561340785ff5ab	00561340785ff5ab	typed_lua	favoriteloadout	exact64	generated_exact	false	table_key;table_value	3	global/sha1_249b4cc77e119c05.lua	index:global/bo7.csv
0056940a51ca1878	0056940a51ca1878	typed_lua	ch8_season_1_launch	exact64	generated_exact	false	table_key	1	global/sha1_15d75a4300422730.lua	numeric:sibling
2056a4932ec11aa4	056a4932ec11aa4	iw_resource	ui.generated.widgets.frontend.mp.cdlrestrictiontag	masked60	resource60	false	require_arg0	1	global/sha1_1ca3d0fe1b96bd47.lua	literal:external_1_Sourcecode
0057b24fa74b3782	0057b24fa74b3782	typed_lua	autoqueuemissions	exact64	generated_exact	false	table_key	1	global/sha1_11dc7de79cf9c6e5.lua	index:global/bo7.csv
005938ac6ad8e330	005938ac6ad8e330	typed_lua	not_below_blocking_fence	exact64	generated_exact	false	table_value	2	global/sha1_c3c3a27a5e3dcbdb.lua	literal:external_1_Sourcecode
0059a6080453a63a	0059a6080453a63a	bo6_omnvar	ui_killstreak_overheat_index	exact64	generated_exact	false	function_argument	1		cell:stringtable
005b74094f637d94	005b74094f637d94	typed_lua	currentoptions	exact64	generated_exact	false	table_key	8	global/sha1_75698bf2e29dc889.lua	composition:token_pair
20604d12154df0ab	0604d12154df0ab	iw_resource	ui.generated.widgets.ingame.reticles.reticle14hybrid	masked60	resource60	false	require_arg0	1	global/sha1_6c64dad7a70abffa.lua	literal:external_1_Sourcecode
006056240b43851a	006056240b43851a	typed_lua	tileslots	exact64	generated_exact	false	table_key	6	global/sha1_926e0b1b35659eff.lua	index:global/bo7.csv
00697ed9fe05ccd9	00697ed9fe05ccd9	typed_lua	unlockcriteriawinchallengeprogressbar	exact64	generated_exact	false	require_arg1	1	global/sha1_6c64dad7a70abffa.lua	literal:external_1_Sourcecode
106e301617e3f8e8	06e301617e3f8e8	iw_resource	store/bundle_items_included_super	masked60	resource60	false	table_value	2	global/sha1_15d75a4300422730.lua	literal:external_1_Sourcecode
0070a0f22c91d7c4	0070a0f22c91d7c4	typed_lua	forestcanopy	exact64	generated_exact	false	table_key	2	global/sha1_3cca2d4b8e4f2c77.lua;global/sha1_462428b4f135e8df.lua	composition:token_pair
0073710b66909e4a	073710b66909e4a	iw_resource	mp/first_place	masked60	resource60	false	table_value	1	global/sha1_92bd207cb7b6cd99.lua	literal:external_1_Sourcecode
