Hash60	OccurrencesForHash	FastFile	RelativePath	BytecodeSHA256	BytecodeBytes	UpdateClassification	SourceRelativePath	KnownBO7PathMatches
0087e45b1b8e003	1	global	global/Luafile_87e45b1b8e003.lua	9cfdbf8335509f3f8051554e4fad87cc6054c0d484bb829814fe07ddad53ae07	3375	renamed_existing_content	lua/source/global/Luafile_87e45b1b8e003.lua	
0125c9498d5393e	1	global	global/Luafile_125c9498d5393e.lua	bd4d08208501093cd6e99bec17c2ffc5e95e92d6f8249d87ef7c7f625f930a72	4128	renamed_existing_content	lua/source/global/Luafile_125c9498d5393e.lua	
03a8b0a0a57776e	1	global	global/Luafile_3a8b0a0a57776e.lua	4596e4cf3a3d63826a6bff71235d1c02cb9d93d0f4c6d22194bf7224887ab0e4	3329	renamed_existing_content	lua/source/global/Luafile_3a8b0a0a57776e.lua	
03d77b8363e006c	1	global	global/Luafile_3d77b8363e006c.lua	a5e99af6a1a92fdefc5e6caa8c329234ff84deb8dc6eae4b695862fca9a702b8	991	new_content	lua/source/global/Luafile_3d77b8363e006c.lua	
051d6a809987f9c	1	global	global/Luafile_51d6a809987f9c.lua	505a294338f6921a323af0e62d4092f089e5ba90a7d3d6019949d58d28da72bc	6713	renamed_existing_content	lua/source/global/Luafile_51d6a809987f9c.lua	
05b1924cb87d953	1	global	global/Luafile_5b1924cb87d953.lua	f2531bb8e9eefaa3695181ef2c95c4c0c30e62ebe894c193f715fc16bd21b183	2685	renamed_existing_content	lua/source/global/Luafile_5b1924cb87d953.lua	
076d2f40995c2d5	1	global	global/Luafile_76d2f40995c2d5.lua	fec379b833d89767c9e5e81953e267beccdd4f2facd81bf62dd575b93a70bb89	2106	renamed_existing_content	lua/source/global/Luafile_76d2f40995c2d5.lua	
0850c6a81aa3f74	1	global	global/Luafile_850c6a81aa3f74.lua	db77f856d0a9df5faa0cb04957e615a36ed34f9186b37ff98ed21128b02a0809	1293	renamed_existing_content	lua/source/global/Luafile_850c6a81aa3f74.lua	
09392a13e0dbea6	1	global	global/Luafile_9392a13e0dbea6.lua	d176f4d58752493b535927a4df16ebba53721d6f91c3c24f378f206a4de8eeec	2731	renamed_existing_content	lua/source/global/Luafile_9392a13e0dbea6.lua	
09a3d4e7ecdf84c	1	global	global/Luafile_9a3d4e7ecdf84c.lua	20e90166a7230bc1d53649e426489005e2310b7c417754d866a43670c123a06f	937	renamed_existing_content	lua/source/global/Luafile_9a3d4e7ecdf84c.lua	
